EWSR1,QAB
0,9.874166667
0,9.4308
0,9.7
0,7.441666667
0,9.874166667
0,9.7
0,9.8475
0,9.799166667
0,9.649166667
0,10
0,9.185
0,8.776666667
0,9.8
0,6.526666667
0,9.8475
0,5.725
0,10
0,9.456666667
0,9.1
0,9.3875
0,9.925
0,9.895
0,10
0,9.898333333
0,9.2825
0,9.283333333
0,9.4
0,8.205
0,9.649166667
0,10
0,8.863333333
0,9.675
0,4.99
0,9.625
0,8.38
0,9.2875
0,10
0,9.6975
0,9.175
0,9.72
0,9.785
0,9.874166667
0,7.935
0,9.625
0,5.588333333
0,9.785
0,9.7
0,9.175
0,9.804166667
0,9.74
0,7.789166667
0,10
0,10
0,9.874166667
0,10
0,5.765
0,8.6575
0,9.756666667
0,10
0,6.849166667
0,8.494166667
0,4.931666667
0,7.85
0,8.85
0,9.57
0,8.73
0,10
0,9.69
0,9.85
0,9.82
0,8.49
0,9.86
0,9.36
0,10
0,9.06
0,7.77
0,7.3
0,9.93
0,9.71
0,8.91
0,9.9
0,9.46
0,7.25
0,9.93
0,9.93
0,4.18
0,8.77
0,10
0,7.56
0,9.97
0,9.95
0,10
0,9.85
0,8.71
0,9.93
0,10
0,9.9
0,9.63
0,10
0,10
0,6.43
0,9.95
0,10
0,9.38
0,9.93
1,10
1,10
